date	time	id	user	action	table	field	key value	old value	new value
2016/09/04	10:32:53	/mst_foodlist.php	-1	U	mst_food	price	D0022	25000	30000
2016/09/04	10:33:20	/mst_foodlist.php	-1	U	mst_food	price	F0034	20000	25000
2016/09/04	10:33:37	/mst_foodlist.php	-1	U	mst_food	price	D0023	12000	14000
2016/09/04	10:33:50	/mst_foodlist.php	-1	U	mst_food	price	D0024	25000	28000
2016/09/04	10:34:13	/mst_foodlist.php	-1	U	mst_food	price	D0025	28000	34000
2016/09/04	10:34:25	/mst_foodlist.php	-1	U	mst_food	price	D0026	35000	42000
2016/09/04	10:34:39	/mst_foodlist.php	-1	U	mst_food	price	F0030	48000	58000
2016/09/04	10:35:05	/mst_foodlist.php	-1	U	mst_food	price	S0008	35000	42000
2016/09/04	10:35:11	/mst_fooddelete.php	-1	*** Batch delete begin ***	mst_food				
2016/09/04	10:35:11	/mst_fooddelete.php	-1	D	mst_food	kode	S0009	S0009	
2016/09/04	10:35:11	/mst_fooddelete.php	-1	D	mst_food	description	S0009	Blue Fish Pastry	
2016/09/04	10:35:11	/mst_fooddelete.php	-1	D	mst_food	price	S0009	30000	
2016/09/04	10:35:11	/mst_fooddelete.php	-1	*** Batch delete successful ***	mst_food				
2016/09/04	10:35:40	/mst_foodlist.php	-1	U	mst_food	price	F0035	47000	56000
2016/09/04	10:35:55	/mst_foodlist.php	-1	U	mst_food	price	F0036	37000	44000
2016/09/04	10:36:19	/mst_foodlist.php	-1	U	mst_food	price	F0037	37000	44000
2016/09/04	10:36:33	/mst_foodlist.php	-1	U	mst_food	price	F0038	27000	32000
2016/09/04	10:38:15	/mst_foodlist.php	-1	A	mst_food	kode	S0009		S0009
2016/09/04	10:38:15	/mst_foodlist.php	-1	A	mst_food	description	S0009		Bakwan Jagung
2016/09/04	10:38:15	/mst_foodlist.php	-1	A	mst_food	price	S0009		25000
